NAICS,Description,"2023 Jobs","2022 - 2023 Change","2022 - 2023 % Change","Avg. Earnings Per Job","2022 GRP Earnings"
111000,"Crop Production",33.3583284783,1.83418473781,0.0581834911332,48223.3648205,4493287.12458
112000,"Animal Production",1.3965637671,0.0440320924038,0.0325553132895,22785.2447195,31009.3159387
113110,"Timber Tract Operations",0.11072307154,-0.0129288100697,-0.10455813451,30986.2334505,7578.7389497
113210,"Forest Nurseries and Gathering of Forest Products",0.227620419452,-0.000406740143001,-0.00178373551521,30986.2334505,16404.5753533
113310,Logging,0.831312244499,0.0370168200029,0.0466033403458,69979.3534389,55601.4743251
114111,"Finfish Fishing",0.00489811471395,8.05477412702E-5,0.0167195893128,170115.992047,820.482473164
114112,"Shellfish Fishing",0,0,0,0,0
114119,"Other Marine Fishing",0,0,0,0,0
114210,"Hunting and Trapping",0.00389772044018,-1.48395825333E-5,-0.00379280635878,56210.5694279,219.927496456
115111,"Cotton Ginning",0,0,0,0,0
115112,"Soil Preparation, Planting, and Cultivating",0.00294235670622,2.45775448291E-5,0.00842337389833,33747.0849358,98.5613909955
115113,"Crop Harvesting, Primarily by Machine",0,0,0,0,0
115114,"Postharvest Crop Activities (except Cotton Ginning)",0.00239957600185,5.34410730792E-5,0.0227783459611,28843.653868,67.6711867865
115115,"Farm Labor Contractors and Crew Leaders",0.00205138398695,8.58896888033E-5,0.0436987728147,26042.1890119,51.2077590308
115116,"Farm Management Services",0.00187412055464,0.000117158311883,0.0666823162339,22309.9382848,39.4777831708
115210,"Support Activities for Animal Production",1.23385501705,0.00117677516811,0.00095464909506,60927.8089536,146506.807146
115310,"Support Activities for Forestry",0.157296779882,-0.0108844433392,-0.0647185406952,63612.2388366,15467.6289305
211120,"Crude Petroleum Extraction",0,0,0,0,243895.545012
211130,"Natural Gas Extraction",0,0,0,0,47335.3741727
212114,"Surface Coal Mining",0,0,0,0,0
212115,"Underground Coal Mining",0,0,0,0,0
212210,"Iron Ore Mining",0,0,0,0,0
212220,"Gold Ore and Silver Ore Mining",5.85868292923E-5,6.18894809557E-6,0.11811447246,310208.000127,16.7587553317
212230,"Copper, Nickel, Lead, and Zinc Mining",2.061192798,-0.298192437232,-0.126385650287,155462.711411,366796.875673
212290,"Other Metal Ore Mining",0,0,0,0,0
212311,"Dimension Stone Mining and Quarrying",0,0,0,0,0
212312,"Crushed and Broken Limestone Mining and Quarrying",0,0,0,0,0
212313,"Crushed and Broken Granite Mining and Quarrying",0,0,0,0,0
212319,"Other Crushed and Broken Stone Mining and Quarrying",0,0,0,0,0
212321,"Construction Sand and Gravel Mining",1.77339935281,0.476172262283,0.367069317129,101518.563056,131692.79166
212322,"Industrial Sand Mining",0,0,0,0,0
212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining",0,0,0,0,0
212390,"Other Nonmetallic Mineral Mining and Quarrying",0,0,0,0,0
213111,"Drilling Oil and Gas Wells",4.21284128445E-5,1.42492789433E-5,0.511109096638,98494.6790907,2.7459497138
213112,"Support Activities for Oil and Gas Operations",4.13014140222E-5,1.15170068671E-5,0.386679070264,88241.2606218,2.91224950224
213113,"Support Activities for Coal Mining",0,0,0,0,0
213114,"Support Activities for Metal Mining",3.71951540412E-5,1.05433604372E-5,0.395596656417,96160.6733583,2.75620717161
213115,"Support Activities for Nonmetallic Minerals (except Fuels) Mining",3.02453810337E-5,9.11187103375E-6,0.431157485613,98171.7239351,2.07471565335
221111,"Hydroelectric Power Generation",0,0,0,0,0
221112,"Fossil Fuel Electric Power Generation",0,0,0,0,0
221113,"Nuclear Electric Power Generation",0,0,0,0,0
221114,"Solar Electric Power Generation",0,0,0,0,0
221115,"Wind Electric Power Generation",0,0,0,0,0
221116,"Geothermal Electric Power Generation",0,0,0,0,0
221117,"Biomass Electric Power Generation",0,0,0,0,0
221118,"Other Electric Power Generation",0,0,0,0,0
221121,"Electric Bulk Power Transmission and Control",0,0,0,0,0
221122,"Electric Power Distribution",0.750361973016,0.0323799393085,0.0450985369944,162858.074028,116962.902804
221210,"Natural Gas Distribution",0,0,0,0,0
221310,"Water Supply and Irrigation Systems",0.11374240958,-0.0136410514343,-0.107086519126,73065.5930253,9310.34877341
221320,"Sewage Treatment Facilities",0.000384730626613,6.10569039913E-5,0.188637197659,73121.8325996,23.6676447819
221330,"Steam and Air-Conditioning Supply",0,0,0,0,0
236115,"New Single-Family Housing Construction (except For-Sale Builders)",29.6312490453,3.48406621606,0.133248244708,62631.7888097,1677219.82391
236116,"New Multifamily Housing Construction (except For-Sale Builders)",3.16564791223,-0.153760188364,-0.0463215680943,73183.409739,247522.78715
236117,"New Housing For-Sale Builders",12.2207519852,-0.0882625555994,-0.00717056229861,75546.3404828,982388.241365
236118,"Residential Remodelers",232.278773753,10.7197336529,0.0483831923449,51426.9315649,11919393.9804
236210,"Industrial Building Construction",20.2619778738,0.598731786798,0.0304492851358,112726.809851,2247647.71048
236220,"Commercial and Institutional Building Construction",53.362668022,-1.16223443897,-0.0213156628717,82167.8624826,4519478.17319
237110,"Water and Sewer Line and Related Structures Construction",3.41388739496,0.126469607533,0.0384708046589,76033.6633409,249998.246098
