NAICS,Description,"2023 Jobs","2022 - 2023 Change","2022 - 2023 % Change","Avg. Earnings Per Job","2022 GRP Earnings"
111000,"Crop Production",0.184841360224,0.0117075021473,0.0676211012526,56717.9286512,58957.0611474
112000,"Animal Production",0.000242499291165,-1.30657683207E-5,-0.0511250182127,22785.2447195,5.85930652916
113110,"Timber Tract Operations",0,0,0,0,0
113210,"Forest Nurseries and Gathering of Forest Products",0,0,0,0,0
113310,Logging,0.000222193210736,-1.72141489261E-5,-0.0719031735298,69979.3534389,16.7587546787
114111,"Finfish Fishing",0.000218055830676,3.58623842171E-6,0.0167214306887,170115.992047,36.5264338761
114112,"Shellfish Fishing",0,0,0,0,0
114119,"Other Marine Fishing",0,0,0,0,0
114210,"Hunting and Trapping",0.000213819000676,1.79063531039E-5,0.0913996790192,56210.5694279,11.0123749807
115111,"Cotton Ginning",0,0,0,0,0
115112,"Soil Preparation, Planting, and Cultivating",0.000209765782375,1.5514445268E-5,0.079867894343,33747.0849358,6.56173100464
115113,"Crop Harvesting, Primarily by Machine",0,0,0,0,0
115114,"Postharvest Crop Activities (except Cotton Ginning)",0.000214778074354,2.25210170914E-5,0.117140132134,28843.653868,5.54540281272
115115,"Farm Labor Contractors and Crew Leaders",0.000250338269446,6.06887531785E-5,0.320004787636,26042.1890119,4.94100987141
115116,"Farm Management Services",0.000259347782322,7.36191270121E-5,0.396380014108,22309.9382848,4.1732004277
115210,"Support Activities for Animal Production",0.000253967562846,7.42345063885E-5,0.413026450736,16084.7934897,2.94539667851
115310,"Support Activities for Forestry",0.000239846234854,5.30222161376E-5,0.283808348102,154105.677688,29.3459674336
211120,"Crude Petroleum Extraction",0,0,0,0,0
211130,"Natural Gas Extraction",0,0,0,0,0
212114,"Surface Coal Mining",0,0,0,0,0
212115,"Underground Coal Mining",0,0,0,0,0
212210,"Iron Ore Mining",0,0,0,0,0
212220,"Gold Ore and Silver Ore Mining",0,0,0,0,0
212230,"Copper, Nickel, Lead, and Zinc Mining",0,0,0,0,0
212290,"Other Metal Ore Mining",0,0,0,0,0
212311,"Dimension Stone Mining and Quarrying",0,0,0,0,0
212312,"Crushed and Broken Limestone Mining and Quarrying",0,0,0,0,0
212313,"Crushed and Broken Granite Mining and Quarrying",0,0,0,0,0
212319,"Other Crushed and Broken Stone Mining and Quarrying",0,0,0,0,0
212321,"Construction Sand and Gravel Mining",0,0,0,0,0
212322,"Industrial Sand Mining",0,0,0,0,0
212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining",0,0,0,0,0
212390,"Other Nonmetallic Mineral Mining and Quarrying",0,0,0,0,0
213111,"Drilling Oil and Gas Wells",0,0,0,0,0
213112,"Support Activities for Oil and Gas Operations",0,0,0,0,0
213113,"Support Activities for Coal Mining",0,0,0,0,0
213114,"Support Activities for Metal Mining",0,0,0,0,0
213115,"Support Activities for Nonmetallic Minerals (except Fuels) Mining",0,0,0,0,0
221111,"Hydroelectric Power Generation",0,0,0,0,0
221112,"Fossil Fuel Electric Power Generation",0,0,0,0,0
221113,"Nuclear Electric Power Generation",0,0,0,0,0
221114,"Solar Electric Power Generation",0,0,0,0,0
221115,"Wind Electric Power Generation",0,0,0,0,0
221116,"Geothermal Electric Power Generation",0,0,0,0,0
221117,"Biomass Electric Power Generation",0,0,0,0,0
221118,"Other Electric Power Generation",0,0,0,0,0
221121,"Electric Bulk Power Transmission and Control",0,0,0,0,0
221122,"Electric Power Distribution",0,0,0,0,0
221210,"Natural Gas Distribution",0,0,0,0,0
221310,"Water Supply and Irrigation Systems",0,0,0,0,0
221320,"Sewage Treatment Facilities",0,0,0,0,0
221330,"Steam and Air-Conditioning Supply",0,0,0,0,0
236115,"New Single-Family Housing Construction (except For-Sale Builders)",9.42792587961,0.800358626983,0.0927675906252,62631.7888097,553418.198922
236116,"New Multifamily Housing Construction (except For-Sale Builders)",0.00014585592508,2.71730881205E-7,0.00186648614364,83705.987631,12.1862837008
236117,"New Housing For-Sale Builders",0.000228959674377,5.74905821356E-6,0.0257562042181,107943.805212,24.0948528531
