NAICS,Description,"2023 Jobs","2022 - 2023 Change","2022 - 2023 % Change","Avg. Earnings Per Job","2022 GRP Earnings"
111000,"Crop Production",141.146653036,5.04777990793,0.0370890646771,44841.9121995,8672059.06146
112000,"Animal Production",2.78522557787,-0.0429830664042,-0.0151979828261,26838.1723764,93032.2357707
113110,"Timber Tract Operations",0.0855587370988,-0.00999044414478,-0.10455813451,30986.2334505,5856.29827931
113210,"Forest Nurseries and Gathering of Forest Products",0.0413855308094,-7.39527532729E-5,-0.00178373551521,30986.2334505,2982.65006424
113310,Logging,15.5116968799,0.0037148249777,0.000239542769945,61066.2690329,2012521.72468
114111,"Finfish Fishing",0.000623141884649,3.35671254805E-5,0.056934468375,170115.992047,100.410800568
114112,"Shellfish Fishing",0,0,0,0,0
114119,"Other Marine Fishing",0,0,0,0,0
114210,"Hunting and Trapping",23.2494427944,3.22798820028,0.161226457603,58298.9131997,1348414.42755
115111,"Cotton Ginning",0,0,0,0,0
115112,"Soil Preparation, Planting, and Cultivating",0.00044021050754,1.93319260345E-5,0.0459323113221,33747.0849358,14.2171069635
115113,"Crop Harvesting, Primarily by Machine",0,0,0,0,0
115114,"Postharvest Crop Activities (except Cotton Ginning)",1.87671477624,0.12678251063,0.0724499531334,28843.653868,50474.5024497
115115,"Farm Labor Contractors and Crew Leaders",1.4697878605,0.0670639854431,0.0478098267491,26042.1890119,36545.6904394
115116,"Farm Management Services",0.00035727125405,1.10257476385E-6,0.00309565334621,22309.9382848,8.00287538964
115210,"Support Activities for Animal Production",1.2887314969,0.056221110444,0.0456151210262,28316.3723883,54645.0404311
115310,"Support Activities for Forestry",1.70882162794,0.00951835833176,0.00560132996974,151663.078122,263937.025738
211120,"Crude Petroleum Extraction",0,0,0,0,0
211130,"Natural Gas Extraction",0,0,0,0,0
212114,"Surface Coal Mining",0,0,0,0,0
212115,"Underground Coal Mining",0,0,0,0,0
212210,"Iron Ore Mining",0,0,0,0,0
212220,"Gold Ore and Silver Ore Mining",9.44132827924E-5,-6.80015550342E-6,-0.0671862908515,310208.000127,32.3717526346
212230,"Copper, Nickel, Lead, and Zinc Mining",0.0282529570415,-0.0156499056386,-0.356466632999,155462.711411,6825.26643959
212290,"Other Metal Ore Mining",0,0,0,0,0
212311,"Dimension Stone Mining and Quarrying",0,0,0,0,0
212312,"Crushed and Broken Limestone Mining and Quarrying",0,0,0,0,0
212313,"Crushed and Broken Granite Mining and Quarrying",0,0,0,0,0
212319,"Other Crushed and Broken Stone Mining and Quarrying",0,0,0,0,0
212321,"Construction Sand and Gravel Mining",26.6660894077,1.24572610454,0.0490050472403,101518.563056,2580641.91909
212322,"Industrial Sand Mining",0,0,0,0,0
212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining",0,0,0,0,0
212390,"Other Nonmetallic Mineral Mining and Quarrying",0,0,0,0,0
213111,"Drilling Oil and Gas Wells",8.94482679102E-5,5.89522437397E-5,1.93311244148,98494.6790907,4115.52708532
213112,"Support Activities for Oil and Gas Operations",0.229978797349,-0.0385517378675,-0.143565564477,133838.830005,656479.027645
213113,"Support Activities for Coal Mining",0,0,0,0,0
213114,"Support Activities for Metal Mining",0.0149698537251,0.00956262814677,1.76849069977,96160.6733583,559.190654815
213115,"Support Activities for Nonmetallic Minerals (except Fuels) Mining",5.74576862256E-5,-1.15341364695E-5,-0.167181211033,98171.7239351,6.77305447601
221111,"Hydroelectric Power Generation",0,0,0,0,0
221112,"Fossil Fuel Electric Power Generation",0,0,0,0,0
221113,"Nuclear Electric Power Generation",0,0,0,0,0
221114,"Solar Electric Power Generation",0,0,0,0,0
221115,"Wind Electric Power Generation",0,0,0,0,0
221116,"Geothermal Electric Power Generation",0,0,0,0,0
221117,"Biomass Electric Power Generation",0,0,0,0,0
221118,"Other Electric Power Generation",0,0,0,0,0
221121,"Electric Bulk Power Transmission and Control",0,0,0,0,0
221122,"Electric Power Distribution",36.2040279613,0.932638265934,0.0264417782795,162858.074028,5745887.68385
221210,"Natural Gas Distribution",0,0,0,0,0
221310,"Water Supply and Irrigation Systems",0.0358264267746,0.00148313048473,0.0431854435932,73134.5341653,12056.5192252
